                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.4878,                 1.5078,                 1.3617,                0.51298,                0.46892,                0.46685,                0.25273,                 1.5749,                  1.438,                 1.3781,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.5097,                 1.5265,                 1.3861,                0.49628,                 0.4578,                0.46052,                0.26064,                 1.5448,                 1.4048,                 1.3602,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.4863,                 1.4769,                 1.3641,                0.49391,                 0.4755,                 0.4642,                0.26076,                 1.5567,                 1.4219,                 1.3744,                0.00101,                0.00101,                0.00101
                     52,                 1.4853,                 1.4788,                 1.3551,                 0.5018,                0.46274,                0.46034,                0.26265,                 1.5378,                 1.4025,                 1.3625,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.4728,                 1.4711,                 1.3534,                0.52496,                0.44463,                0.45818,                0.25286,                 1.5701,                 1.4444,                 1.3804,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.4677,                 1.4795,                 1.3516,                 0.5073,                0.47303,                0.46544,                0.25727,                 1.5626,                 1.4084,                 1.3629,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.4627,                 1.4862,                 1.3448,                0.50715,                 0.4578,                0.46071,                0.25964,                 1.5534,                 1.4169,                 1.3659,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.4818,                 1.4788,                 1.3604,                0.48913,                0.46398,                0.45988,                0.25785,                 1.5542,                 1.4213,                 1.3812,               0.000911,               0.000911,               0.000911
                     57,                 1.4578,                 1.4707,                 1.3498,                0.49494,                0.48616,                0.47383,                0.26521,                 1.5254,                 1.3989,                  1.366,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.4742,                 1.4693,                 1.3502,                0.50557,                0.45698,                0.46352,                 0.2553,                 1.5452,                 1.4436,                  1.362,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.4587,                  1.468,                 1.3565,                0.49505,                0.45821,                0.46021,                0.26155,                 1.5268,                 1.4066,                   1.36,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.4485,                 1.4425,                 1.3338,                0.51089,                0.45969,                 0.4708,                 0.2618,                 1.5302,                 1.3893,                  1.351,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.4644,                 1.4398,                 1.3371,                0.50846,                 0.4718,                0.47412,                0.26308,                 1.5412,                 1.3907,                 1.3528,               0.000812,               0.000812,               0.000812
