                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.3353,                 1.2724,                  1.221,                0.52626,                0.48798,                0.48883,                0.27487,                 1.4993,                 1.2692,                 1.2642,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.3106,                  1.253,                 1.2142,                0.51657,                0.49774,                0.48914,                0.27273,                 1.5175,                 1.2731,                 1.2743,               0.000515,               0.000515,               0.000515
                     77,                 1.3122,                 1.2592,                 1.2266,                0.53327,                0.49115,                0.49075,                0.27719,                 1.4993,                 1.2619,                 1.2616,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.3318,                 1.2701,                 1.2161,                0.53045,                0.48621,                0.48606,                0.27462,                 1.4898,                 1.2695,                 1.2525,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.3221,                 1.2671,                 1.2203,                0.53691,                0.48868,                0.48514,                 0.2719,                 1.5083,                 1.2741,                 1.2597,              0.0004556,              0.0004556,              0.0004556
                     80,                  1.319,                 1.2532,                 1.2203,                0.53332,                0.49213,                0.48974,                0.27113,                 1.4991,                 1.2827,                 1.2523,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.3244,                 1.2516,                 1.2134,                0.53151,                0.49042,                0.48733,                 0.2762,                 1.5032,                 1.2699,                 1.2621,               0.000416,               0.000416,               0.000416
                     82,                 1.3166,                 1.2501,                 1.2213,                0.53697,                 0.4895,                0.49451,                0.27713,                 1.5192,                 1.2679,                 1.2715,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.2985,                 1.2456,                 1.2014,                0.52481,                0.49774,                0.48896,                0.27251,                 1.5222,                 1.2722,                 1.2713,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.3045,                 1.2413,                 1.2067,                0.53481,                 0.4965,                0.49016,                0.27324,                 1.4967,                 1.2784,                 1.2614,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.2965,                 1.2478,                   1.21,                0.53519,                0.47756,                0.48919,                0.27677,                 1.4983,                 1.2589,                  1.259,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.2966,                 1.2439,                 1.2037,                0.53461,                0.48786,                0.49201,                0.27503,                 1.5063,                 1.2764,                 1.2571,               0.000317,               0.000317,               0.000317
                     87,                 1.2826,                 1.2106,                 1.1907,                 0.5372,                0.49403,                0.49872,                0.27906,                 1.4955,                 1.2586,                 1.2533,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.2806,                 1.2171,                 1.2019,                 0.5226,                0.49897,                0.48959,                0.27375,                 1.4987,                 1.2688,                 1.2583,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.2812,                 1.2101,                  1.193,                0.53373,                0.48964,                0.49546,                 0.2801,                 1.4969,                 1.2494,                 1.2603,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.2904,                 1.2148,                 1.2006,                0.54416,                0.48114,                0.49303,                0.27571,                 1.5095,                 1.2652,                 1.2599,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.3347,                 1.2401,                 1.2182,                0.53913,                0.48621,                0.48943,                0.27739,                 1.5012,                 1.2526,                 1.2637,               0.000218,               0.000218,               0.000218
                     92,                 1.3232,                 1.2097,                 1.2215,                0.51954,                 0.5072,                0.48986,                0.27675,                 1.5098,                 1.2532,                 1.2667,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.3169,                 1.2146,                 1.2141,                0.52601,                0.49389,                0.49046,                0.27763,                 1.4902,                 1.2466,                 1.2566,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.3077,                 1.1966,                 1.2161,                0.52143,                0.50597,                0.49585,                0.27902,                 1.4972,                  1.242,                 1.2591,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.3034,                 1.1977,                 1.2125,                0.53394,                0.48538,                0.49054,                0.28016,                 1.4872,                 1.2469,                 1.2529,              0.0001388,              0.0001388,              0.0001388
                     96,                  1.291,                 1.1843,                 1.2016,                0.53755,                0.49482,                0.49637,                0.28134,                  1.485,                 1.2482,                  1.251,               0.000119,               0.000119,               0.000119
                     97,                 1.2906,                 1.1859,                 1.2052,                0.52676,                0.49897,                0.49337,                0.28069,                 1.4814,                 1.2508,                 1.2489,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.2816,                 1.1754,                 1.1946,                0.53086,                0.49691,                 0.4975,                0.28073,                 1.4819,                 1.2412,                 1.2477,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.2889,                 1.1744,                 1.1972,                 0.5404,                 0.4923,                0.49818,                0.27902,                 1.4805,                  1.242,                 1.2473,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.2782,                 1.1656,                 1.1968,                0.53498,                0.48868,                0.49538,                0.27973,                 1.4797,                 1.2415,                 1.2484,               3.98e-05,               3.98e-05,               3.98e-05
